Query,Name,Email,Website,Phone,Integrations,Google Maps URL
restaurants in London,Pavyllon London,,https://www.pavyllonlondon.com/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-lon-fab-mid-seo-na&utm_content=na-na&utm_term=na,+44 20 7319 5200,"OpenTable, BentoBox, Resy",https://www.google.com/maps/place/Pavyllon+London/data=!4m7!3m6!1s0x487605257ea3f305:0xda4dfd90fa7c6be!8m2!3d51.5041707!4d-0.1499475!16s%2Fg%2F11t__l9xp4!19sChIJBfOjfiUFdkgRvsanD9nfpA0?authuser=0&hl=en&rclk=1
restaurants in London,Tattu London,"edinburgh@tattu.co.uk, birmingham@tattu.co.uk, leeds@tattu.co.uk, dubai@tattu.me, manchester@tattu.co.uk, london@tattu.co.uk",https://tattu.co.uk/locations/tattu-london/,+44 20 3778 1985,SevenRooms,https://www.google.com/maps/place/Tattu+London/data=!4m7!3m6!1s0x48761b1ce27dd71d:0x560f057dcac2108a!8m2!3d51.515385!4d-0.1295445!16s%2Fg%2F11rqs5q978!19sChIJHdd94hwbdkgRihDCyn0FD1Y?authuser=0&hl=en&rclk=1
restaurants in London,Berners Tavern,bernerstavern@editionhotels.com,http://www.bernerstavern.com/,+44 20 7908 7979,OpenTable,https://www.google.com/maps/place/Berners+Tavern/data=!4m7!3m6!1s0x48761b2b657c41e5:0x5593682c9b218977!8m2!3d51.5166544!4d-0.1361045!16s%2Fg%2F11b6_jw0pg!19sChIJ5UF8ZSsbdkgRd4khmyxok1U?authuser=0&hl=en&rclk=1
restaurants in London,Swan London,"enquiries@swanlondon.co.uk, reservations@swanlondon.co.uk",https://www.swanlondon.co.uk/?utm_source=google&utm_medium=local&utm_campaign=1&utm_content=primary,+44 20 7928 9444,None,https://www.google.com/maps/place/Swan+London/data=!4m7!3m6!1s0x487604a90a5b47ef:0xa4d1cf7908d76aff!8m2!3d51.5082418!4d-0.0965236!16s%2Fg%2F11b77gm5hd!19sChIJ70dbCqkEdkgR_2rXCHnP0aQ?authuser=0&hl=en&rclk=1
restaurants in London,The Glean Restaurant & Bar,info@theglean.co.uk,https://theglean.co.uk/,+44 7795 929633,None,https://www.google.com/maps/place/The+Glean+Restaurant+%26+Bar/data=!4m7!3m6!1s0x487605becf2d0e69:0xe880c9fe92732cc9!8m2!3d51.5129149!4d-0.1033486!16s%2Fg%2F11t8h2bbzj!19sChIJaQ4tz74FdkgRySxzkv7JgOg?authuser=0&hl=en&rclk=1
restaurants in London,Sheba Brick Lane - Awarded Best Curry House In UK,info@shebabricklane.com,https://www.shebabricklane.com/,+44 20 7247 7824,"OpenTable, Tock",https://www.google.com/maps/place/Sheba+Brick+Lane+-+Awarded+Best+Curry+House+In+UK/data=!4m7!3m6!1s0x48761cb60c7a1931:0xc755ac201034d1b7!8m2!3d51.5206625!4d-0.0717127!16s%2Fg%2F1tgnwq71!19sChIJMRl6DLYcdkgRt9E0ECCsVcc?authuser=0&hl=en&rclk=1
restaurants in London,Blacklock Soho,soho@theblacklock.com,https://theblacklock.com/restaurants/blacklock-soho/?utm_source=SOHO_GMB&utm_medium=GMB&utm_campaign=SOHO_RES&utm_id=SOHO_GMB,+44 20 3441 6996,OpenTable,https://www.google.com/maps/place/Blacklock+Soho/data=!4m7!3m6!1s0x487604d386103039:0x43d15166fe8299f5!8m2!3d51.5117776!4d-0.1346968!16s%2Fg%2F11b75g05gv!19sChIJOTAQhtMEdkgR9ZmC_mZR0UM?authuser=0&hl=en&rclk=1
restaurants in London,Speedboat Bar,"speedboatbar@sohohouse.com, info@speedboatbar.co.uk",https://speedboatbar.co.uk/,,"OpenTable, SevenRooms",https://www.google.com/maps/place/Speedboat+Bar/data=!4m7!3m6!1s0x4876051f87c57f6d:0x143aa6800cc5376d!8m2!3d51.5111755!4d-0.1326545!16s%2Fg%2F11t4wtssgq!19sChIJbX_Fhx8FdkgRbTfFDICmOhQ?authuser=0&hl=en&rclk=1
restaurants in London,Blacklock City,"cityreservations@theblacklock.com, city@theblacklock.com",https://theblacklock.com/restaurants/city/?utm_source=CITY_GMB&utm_medium=GMB,+44 20 7998 7676,OpenTable,https://www.google.com/maps/place/Blacklock+City/data=!4m7!3m6!1s0x4876035238e21f1f:0x2add000f5a019d59!8m2!3d51.5108673!4d-0.0841367!16s%2Fg%2F11c6stfbh4!19sChIJHx_iOFIDdkgRWZ0BWg8A3So?authuser=0&hl=en&rclk=1
restaurants in London,Bill's Baker Street Restaurant,marketing@bills-email.co.uk,https://bills-website.co.uk/restaurants/baker-street/?utm_source=LocalGoogle&utm_medium=Organic,+44 20 8054 5400,OpenTable,https://www.google.com/maps/place/Bill%27s+Baker+Street+Restaurant/data=!4m7!3m6!1s0x48761acec6d3e177:0x4681bf29c2f9a683!8m2!3d51.521674!4d-0.1575435!16s%2Fg%2F11bw4bbk8b!19sChIJd-HTxs4adkgRg6b5wim_gUY?authuser=0&hl=en&rclk=1
restaurants in London,The Ivy Asia St Paul's,groupdining@theivy-collection.com,https://theivyasia.com/asian-food-near-me/asian-restaurants-london/the-ivy-asia-st-pauls/,+44 20 3971 2600,OpenTable,https://www.google.com/maps/place/The+Ivy+Asia+St+Paul%27s/data=!4m7!3m6!1s0x487605721216b38b:0xac43e93c468d45b8!8m2!3d51.5137393!4d-0.0960159!16s%2Fg%2F11fn5sx2kz!19sChIJi7MWEnIFdkgRuEWNRjzpQ6w?authuser=0&hl=en&rclk=1
restaurants in London,Chez Antoinette Victoria,"perrine@chezantoinette.co.uk, coventgarden@chezantoinette.co.uk, bonjour@chezantoinette.co.uk, bonjour@maisongigi.co.uk",https://www.chezantoinette.co.uk/victoria/,+44 20 3990 5377,SevenRooms,https://www.google.com/maps/place/Chez+Antoinette+Victoria/data=!4m7!3m6!1s0x4876056195ad27f9:0xfea32d6afa774b7c!8m2!3d51.498258!4d-0.13541!16s%2Fg%2F11h5s4hk9t!19sChIJ-SetlWEFdkgRfEt3-moto_4?authuser=0&hl=en&rclk=1
restaurants in London,Vivat Bacchus London Bridge Restaurant,londonbridge@vivatbacchus.co.uk,https://vivatbacchus.co.uk/london-bridge?utm_source=gmb&utm_medium=web&utm_campaign=click,+44 20 7234 0891,"OpenTable, Tock, SevenRooms",https://www.google.com/maps/place/Vivat+Bacchus+London+Bridge+Restaurant/data=!4m7!3m6!1s0x4876035047156513:0xbefa74b0a90dbba4!8m2!3d51.5057193!4d-0.0848993!16s%2Fg%2F1tj2myhh!19sChIJE2UVR1ADdkgRpLsNqbB0-r4?authuser=0&hl=en&rclk=1
restaurants in London,Bob Bob Ricard Soho,"bobbobricard@curaconn.com, city.reservations@bobbobricard.com, soho.reservations@bobbobricard.com",https://bobbobricard.com/soho,+44 20 3145 1000,SevenRooms,https://www.google.com/maps/place/Bob+Bob+Ricard+Soho/data=!4m7!3m6!1s0x487604d4f81d3b37:0x483d43bdcad9b09a!8m2!3d51.51237!4d-0.137334!16s%2Fm%2F0c00t2v!19sChIJNzsd-NQEdkgRmrDZyr1DPUg?authuser=0&hl=en&rclk=1
restaurants in London,Isola by San Carlo,,https://sancarlo.co.uk/restaurants/london/isola-london/?utm_source=google&utm_medium=organic_gbp&utm_campaign=gbp_isola_london,+44 20 7846 8604,SevenRooms,https://www.google.com/maps/place/Isola+by+San+Carlo/data=!4m7!3m6!1s0x48761bb909c1b285:0xa07244483e07aa8!8m2!3d51.5152066!4d-0.1502647!16s%2Fg%2F11rghjf5yq!19sChIJhbLBCbkbdkgRqHrgg0QkBwo?authuser=0&hl=en&rclk=1
restaurants in London,Urumchi Uyghur Restaurant London,infourumchi@gmail.com,https://www.urumchi.co.uk/,+44 20 3829 1220,None,https://www.google.com/maps/place/Urumchi+Uyghur+Restaurant+London/data=!4m7!3m6!1s0x48761bcd19d16283:0xa43c86d9e569294a!8m2!3d51.5211207!4d-0.1227159!16s%2Fg%2F11w4l034rl!19sChIJg2LRGc0bdkgRSilp5dmGPKQ?authuser=0&hl=en&rclk=1
restaurants in London,Osteria romana,info@osteriaromana.co.uk,http://osteriaromana.co.uk/,+44 20 7584 5819,OpenTable,https://www.google.com/maps/place/Osteria+romana/data=!4m7!3m6!1s0x487605386759cc6f:0xc225164f5610bbbe!8m2!3d51.502023!4d-0.1629449!16s%2Fg%2F11fz9y0rk5!19sChIJb8xZZzgFdkgRvrsQVk8WJcI?authuser=0&hl=en&rclk=1
restaurants in London,Comptoir Libanais London Bridge,"londonbridge@comptoirlibanais.com, broadgate@comptoirlibanais.com, manchester@comptoirlibanais.com, birmingham@comptoirlibanais.com, ealing@comptoirlibanais.com, kingston@comptoirlibanais.com, info@comptoirgroup.com, gloucesterroad@comptoirlibanais.com, cheshireoaks@comptoirlibanais.com, wigmore@comptoirlibanais.com, info@comptoirlibanais.com, marketing@comptoirgroup.com, oxford@comptoirlibanais.com, reading@comptoirlibanais.com, exeter@comptoirlibanais.com, bath@comptoirlibanais.com, southbank@comptoirlibanais.com",https://www.comptoirlibanais.com/restaurants/london-bridge,+44 20 3432 0201,None,https://www.google.com/maps/place/Comptoir+Libanais+London+Bridge/data=!4m7!3m6!1s0x4876037f7d883dcf:0xa3c04c101a48706b!8m2!3d51.5044959!4d-0.0837238!16s%2Fg%2F11fhqqf6yn!19sChIJzz2IfX8DdkgRa3BIGhBMwKM?authuser=0&hl=en&rclk=1
restaurants in London,Ekstedt at The Yard,"talent@greatscotlandyard.com, enquiries.ekstedt@greatscotlandyard.com",https://www.ekstedtattheyard.com/,+44 20 7925 4749,"OpenTable, Tock",https://www.google.com/maps/place/Ekstedt+at+The+Yard/data=!4m7!3m6!1s0x487604cf07e6e12f:0xb42c04ff23b07f7c!8m2!3d51.5064253!4d-0.1261457!16s%2Fg%2F11ry7qqrsy!19sChIJL-HmB88EdkgRfH-wI_8ELLQ?authuser=0&hl=en&rclk=1
restaurants in London,"Paper Moon Restaurant, London","info@gragraphic.it, info@papermoonlondon.com",https://www.papermoonrestaurants.com/paper-moon-london.html,+44 20 3963 5949,OpenTable,"https://www.google.com/maps/place/Paper+Moon+Restaurant,+London/data=!4m7!3m6!1s0x4876059cf6a6fd77:0xf47395e8a67dd264!8m2!3d51.505229!4d-0.1252283!16s%2Fg%2F11vdfh0dw9!19sChIJd_2m9pwFdkgRZNJ9puiVc_Q?authuser=0&hl=en&rclk=1"
restaurants in London,Fatt Pundit,reservations.coventgarden@fattpundit.co.uk,https://www.fattpundit.co.uk/covent-garden/,+44 20 7836 8883,SevenRooms,https://www.google.com/maps/place/Fatt+Pundit/data=!4m7!3m6!1s0x4876058a41e63267:0x40c2051e9a09697f!8m2!3d51.51075!4d-0.122639!16s%2Fg%2F11p01vq1f6!19sChIJZzLmQYoFdkgRf2kJmh4FwkA?authuser=0&hl=en&rclk=1
restaurants in London,Maru London,info@marulondon.com,http://www.marulondon.com/,,"Tock, SevenRooms",https://www.google.com/maps/place/Maru+London/data=!4m7!3m6!1s0x487605adec144981:0x258f01540f25b7d!8m2!3d51.5066938!4d-0.1462888!16s%2Fg%2F11rft50by0!19sChIJgUkU7K0FdkgRfVvyQBXwWAI?authuser=0&hl=en&rclk=1
restaurants in London,Gaucho Covent Garden,"covent.garden@gauchorestaurants.com, press@gauchorestaurants.com",https://gauchorestaurants.com/restaurants/covent-garden/,+44 20 7242 2222,"OpenTable, DesignMyNight (Collins)",https://www.google.com/maps/place/Gaucho+Covent+Garden/data=!4m7!3m6!1s0x4876057d61e35b89:0x9d80f2fd80f306f3!8m2!3d51.5128231!4d-0.1235271!16s%2Fg%2F11txzpnlr1!19sChIJiVvjYX0FdkgR8wbzgP3ygJ0?authuser=0&hl=en&rclk=1
restaurants in London,Paladar,"info@paladarlondon.com, reservations@paladarlondon.com",http://paladarlondon.com/,+44 20 7186 5555,None,https://www.google.com/maps/place/Paladar/data=!4m7!3m6!1s0x487604a341961979:0x24ad261bc8353bc7!8m2!3d51.4981401!4d-0.104369!16s%2Fg%2F11d_2g0gfr!19sChIJeRmWQaMEdkgRxzs1yBsmrSQ?authuser=0&hl=en&rclk=1
restaurants in London,Paro - Covent Garden & Strand - Best Indian Restaurant London,info@paroindian.com,https://paroindian.com/,+44 20 3722 0951,None,https://www.google.com/maps/place/Paro+-+Covent+Garden+%26+Strand+-+Best+Indian+Restaurant+London/data=!4m7!3m6!1s0x487605c056e8911f:0x190215ffe8878477!8m2!3d51.5115791!4d-0.1200931!16s%2Fg%2F11sw4v6fyn!19sChIJH5HoVsAFdkgRd4SH6P8VAhk?authuser=0&hl=en&rclk=1
restaurants in London,Blacklock Covent Garden,coventgarden@theblacklock.com,https://theblacklock.com/coventgarden-reservations/?utm_source=GMB&utm_medium=website+click&utm_campaign=SDM&utm_id=GMB,+44 20 3034 1394,OpenTable,https://www.google.com/maps/place/Blacklock+Covent+Garden/data=!4m7!3m6!1s0x487605baacece4c9:0xf4d1dec94bb0c776!8m2!3d51.5106604!4d-0.1247063!16s%2Fg%2F11pdwgd119!19sChIJyeTsrLoFdkgRdsewS8ne0fQ?authuser=0&hl=en&rclk=1
restaurants in London,Llama Inn London,reservations@llamainnlondon.com,https://www.llamainnlondon.com/,+44 20 7550 1071,"OpenTable, SevenRooms, Tock",https://www.google.com/maps/place/Llama+Inn+London/data=!4m7!3m6!1s0x48761d8a09b3e0df:0x23a3d1e1328baf6f!8m2!3d51.5253601!4d-0.0836159!16s%2Fg%2F11v6kc9kqc!19sChIJ3-CzCYoddkgRb6-LMuHRoyM?authuser=0&hl=en&rclk=1
restaurants in London,som saa,"fohjobs@somsaa.com, us9-fea1ef33b9-9f60f64b0d@inbound.mailchimp.com, kitchenjobs@somsaa.com, bookings@somsaa.com",http://www.somsaa.com/,+44 20 7324 7790,"OpenTable, ResDiary (Dish Cult), SevenRooms",https://www.google.com/maps/place/som+saa/data=!4m7!3m6!1s0x48761cb4fea7bca1:0x59471e1837364e13!8m2!3d51.5172463!4d-0.0737796!16s%2Fg%2F11cjnpscgb!19sChIJobyn_rQcdkgRE042NxgeR1k?authuser=0&hl=en&rclk=1
restaurants in London,BRAT Restaurant,,http://bratrestaurant.com/,,None,https://www.google.com/maps/place/BRAT+Restaurant/data=!4m7!3m6!1s0x48761cb0b66575ed:0xbc95fbb590ac2921!8m2!3d51.5242042!4d-0.0767031!16s%2Fg%2F11gg9bm8ry!19sChIJ7XVltrAcdkgRISmskLX7lbw?authuser=0&hl=en&rclk=1
restaurants in London,Ormer Mayfair,"ormerrestaurant@flemings.co.uk, reservations@flemings.co.uk, craig@lacollection.travel, mm@flospitality.com, concierge@flemings.co.uk, fs@flospitality.com, guest.services@flemings.co.uk",https://www.flemings-mayfair.co.uk/fine-dining-london/ormer-mayfair-restaurant,+44 20 7016 5601,OpenTable,https://www.google.com/maps/place/Ormer+Mayfair/data=!4m7!3m6!1s0x48760528dd211a43:0xd7dbe76290b858a8!8m2!3d51.5064492!4d-0.1451358!16s%2Fg%2F1ptz3m19l!19sChIJQxoh3SgFdkgRqFi4kGLn29c?authuser=0&hl=en&rclk=1
restaurants in London,Bancone Covent Garden,,http://www.bancone.co.uk/,+44 20 7240 8786,"OpenTable, Tock, SevenRooms",https://www.google.com/maps/place/Bancone+Covent+Garden/data=!4m7!3m6!1s0x487604ce7e57942f:0x2ba07c05296427b!8m2!3d51.5095795!4d-0.1264051!16s%2Fg%2F11hcz0nxp9!19sChIJL5RXfs4EdkgRe0KWUsAHugI?authuser=0&hl=en&rclk=1
hotels in London,Leonardo Royal Hotel London Tower Bridge,"advantageclub@leonardo-hotels.com, londonres@leonardohotels.co.uk, towerbridgeenquiries@leonardohotels.co.uk",https://www.leonardo-hotels.com/london/leonardo-royal-hotel-london-tower-bridge,+44 20 7959 5000,"OpenTable, Tock",https://www.google.com/maps/place/Leonardo+Royal+Hotel+London+Tower+Bridge/data=!4m10!3m9!1s0x4876034a43f20c8d:0x837aaa0d03293b09!5m2!4m1!1i2!8m2!3d51.5117814!4d-0.0715236!16s%2Fg%2F1tgs0dkl!19sChIJjQzyQ0oDdkgRCTspAw2qeoM?authuser=0&hl=en&rclk=1
hotels in London,Premier Inn London Docklands (Canning Town) hotel,"group.enquiries@whitbread.com, business@premierinn.com, kontakt@whitbread.com, leisuretours@premierinn.com, pi.accessible@whitbread.com",https://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-docklands-canning-town.html?cid=GLBC_LONCAN,+44 20 3989 5498,None,https://www.google.com/maps/place/Premier+Inn+London+Docklands+%28Canning+Town%29+hotel/data=!4m10!3m9!1s0x47d8a917b670737f:0xea6749ee388d0c48!5m2!4m1!1i2!8m2!3d51.5129464!4d0.0099134!16s%2Fg%2F11t1k01qyc!19sChIJf3Nwthep2EcRSAyNOO5JZ-o?authuser=0&hl=en&rclk=1
hotels in London,Premier Inn London County Hall hotel,"group.enquiries@whitbread.com, business@premierinn.com, kontakt@whitbread.com, leisuretours@premierinn.com, pi.accessible@whitbread.com",https://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-county-hall.html?cid=GLBC_LONCOU,+44 333 321 1246,None,https://www.google.com/maps/place/Premier+Inn+London+County+Hall+hotel/data=!4m10!3m9!1s0x47d8af7a1533332d:0x43d3fab3daeb5b25!5m2!4m1!1i2!8m2!3d51.5024997!4d-0.1180709!16s%2Fg%2F12214fqt1!19sChIJLTMzFXqv2EcRJVvr2rP600M?authuser=0&hl=en&rclk=1
hotels in London,easyHotel London City Shoreditch,"leeds@easyhotel.com, glasgow@easyhotel.com, barcelona@easyhotel.com, amsab.fo@easyhotel.com, charlesdegaulle@easyhotel.com, london@southken.easyhotel.com, oxford@easyhotel.com, sheffield@easyhotel.com, aubervilliers@easyhotel.com, reading@easyhotel.com, alicante.centro@easyhotel.com, mstcc.fo@easyhotel.com, newcastle@easyhotel.com, reception.croydon@easyhotel.com, budapest@easyhotel.com, valencia.ciutatvella@easyhotel.com, enquiries@berlinhm.easyhotel.com, reception.edinburgh@easyhotel.com, basel@easyhotel.com, dhcc.fo@easyhotel.com, liverpool@easyhotel.com, nice@easyhotel.com, belfast@easyhotel.com, amszd.fo@easyhotel.com, dublin@easyhotel.com, amsccs.fo@easyhotel.com, rdcc.fo@easyhotel.com, zurich@easyhotel.com, ipswich@easyhotel.com, enquiries@sofia.easyhotel.com, marseille.euromed@easyhotel.com, madrid.alcala@easyhotel.com, brucc.fo@easyhotel.com, oldstreet@easyhotel.com, cardiff@easyhotel.com, enquiries.victoria@easyhotel.com, birmingham@easyhotel.com, miltonkeynes@easyhotel.com, manchester@easyhotel.com, barcelona.sagrera@easyhotel.com, enquiries.paddington@easyhotel.com, lisbon@easyhotel.com, groups@easyhotel.com, schev.fo@easyhotel.com",https://www.easyhotel.com/hotels/united-kingdom/london/london-city-shoreditch?utm_source=google&utm_medium=organic&utm_campaign=GMB-owned-london-city-shoreditch,+44 20 3976 4890,Tock,https://www.google.com/maps/place/easyHotel+London+City+Shoreditch/data=!4m10!3m9!1s0x48761b57e615b11b:0xf498559a6446597d!5m2!4m1!1i2!8m2!3d51.524424!4d-0.094622!16s%2Fg%2F11xndvkws!19sChIJG7EV5lcbdkgRfVlGZJpVmPQ?authuser=0&hl=en&rclk=1
hotels in London,Travelodge London Excel,"travelodge@example.co.uk, londonexcel@travelodge.co.uk",https://www.travelodge.co.uk/hotels/553/London-Excel-hotel?utm_source=google&utm_medium=GHA_Organic&utm_campaign=GHA_London_Excel&WT.tsrc=GHA_Organic,+44 871 984 6298,None,https://www.google.com/maps/place/Travelodge+London+Excel/data=!4m10!3m9!1s0x47d8a87c14a56c61:0x889c3003f5bfa7dc!5m2!4m1!1i2!8m2!3d51.5084735!4d0.0420264!16s%2Fg%2F12hqghk5n!19sChIJYWylFHyo2EcR3Ke_9QMwnIg?authuser=0&hl=en&rclk=1
